SEP1
19 perturbation point
N Excecution Enactor
PONE : Numerical Perturbator
20 string of 100 char
Random char generated with 23 as seed
All Result : detail per task
Task       IndexLoc   #Success   #Failure   #Exception #Call      #Enaction  #ExeWOPer  %Success                   
0          303        1          0          0          1          1          1          -------------------- 100,00
0          304        0          0          1          1          1          1           0,00                      
0          305        257        0          0          66048      257        257        -------------------- 100,00
0          306        257        0          0          66050      257        257        -------------------- 100,00
0          308        178        0          78         65536      256        256        -------------- 69,53       
0          309        0          1          0          1          1          1           0,00                      
0          310        99         0          0          9801       99         99         -------------------- 100,00
0          312        0          99         0          9801       99         99          0,00                      
0          313        0          0          0          0          0          0           NaN                       
0          314        0          0          0          0          0          0           NaN                       
0          316        0          0          0          0          0          0           NaN                       
0          317        0          0          99         4950       99         99          0,00                      
0          318        1          0          0          1          1          1          -------------------- 100,00
0          319        0          0          1          1          1          1           0,00                      
0          320        257        0          0          66048      257        257        -------------------- 100,00
0          321        257        0          0          66050      257        257        -------------------- 100,00
0          323        177        79         0          65536      256        256        -------------- 69,14       
0          325        0          99         0          9801       99         99          0,00                      
0          327        0          1          0          1          1          1           0,00                      
1          303        1          0          0          1          1          1          -------------------- 100,00
1          304        0          0          1          1          1          1           0,00                      
1          305        256        0          1          66048      257        257        -------------------- 99,61 
1          306        257        0          0          66050      257        257        -------------------- 100,00
1          308        177        0          79         65536      256        256        -------------- 69,14       
1          309        0          1          0          1          1          1           0,00                      
1          310        99         0          0          9801       99         99         -------------------- 100,00
1          312        0          99         0          9801       99         99          0,00                      
1          313        0          0          0          0          0          0           NaN                       
1          314        0          0          0          0          0          0           NaN                       
1          316        0          0          0          0          0          0           NaN                       
1          317        0          0          99         4950       99         99          0,00                      
1          318        1          0          0          1          1          1          -------------------- 100,00
1          319        0          0          1          1          1          1           0,00                      
1          320        256        0          1          66048      257        257        -------------------- 99,61 
1          321        257        0          0          66050      257        257        -------------------- 100,00
1          323        176        80         0          65536      256        256        -------------- 68,75       
1          325        0          99         0          9801       99         99          0,00                      
1          327        0          1          0          1          1          1           0,00                      
2          303        1          0          0          1          1          1          -------------------- 100,00
2          304        0          0          1          1          1          1           0,00                      
2          305        257        0          0          66048      257        257        -------------------- 100,00
2          306        257        0          0          66050      257        257        -------------------- 100,00
2          308        171        0          85         65536      256        256        -------------- 66,80       
2          309        0          1          0          1          1          1           0,00                      
2          310        99         0          0          9801       99         99         -------------------- 100,00
2          312        0          99         0          9801       99         99          0,00                      
2          313        0          0          0          0          0          0           NaN                       
2          314        0          0          0          0          0          0           NaN                       
2          316        0          0          0          0          0          0           NaN                       
2          317        0          0          99         4950       99         99          0,00                      
2          318        1          0          0          1          1          1          -------------------- 100,00
2          319        0          0          1          1          1          1           0,00                      
2          320        257        0          0          66048      257        257        -------------------- 100,00
2          321        257        0          0          66050      257        257        -------------------- 100,00
2          323        170        86         0          65536      256        256        -------------- 66,41       
2          325        0          99         0          9801       99         99          0,00                      
2          327        0          1          0          1          1          1           0,00                      
3          303        1          0          0          1          1          1          -------------------- 100,00
3          304        1          0          0          1          1          1          -------------------- 100,00
3          305        257        0          0          66048      257        257        -------------------- 100,00
3          306        257        0          0          66050      257        257        -------------------- 100,00
3          308        174        0          82         65536      256        256        -------------- 67,97       
3          309        0          1          0          1          1          1           0,00                      
3          310        99         0          0          9801       99         99         -------------------- 100,00
3          312        0          99         0          9801       99         99          0,00                      
3          313        0          0          0          0          0          0           NaN                       
3          314        0          0          0          0          0          0           NaN                       
3          316        0          0          0          0          0          0           NaN                       
3          317        0          0          99         4950       99         99          0,00                      
3          318        1          0          0          1          1          1          -------------------- 100,00
3          319        1          0          0          1          1          1          -------------------- 100,00
3          320        257        0          0          66048      257        257        -------------------- 100,00
3          321        257        0          0          66050      257        257        -------------------- 100,00
3          323        174        82         0          65536      256        256        -------------- 67,97       
3          325        0          99         0          9801       99         99          0,00                      
3          327        0          1          0          1          1          1           0,00                      
4          303        1          0          0          1          1          1          -------------------- 100,00
4          304        0          0          1          1          1          1           0,00                      
4          305        257        0          0          66048      257        257        -------------------- 100,00
4          306        257        0          0          66050      257        257        -------------------- 100,00
4          308        175        0          81         65536      256        256        -------------- 68,36       
4          309        0          1          0          1          1          1           0,00                      
4          310        99         0          0          9801       99         99         -------------------- 100,00
4          312        0          99         0          9801       99         99          0,00                      
4          313        0          0          0          0          0          0           NaN                       
4          314        0          0          0          0          0          0           NaN                       
4          316        0          0          0          0          0          0           NaN                       
4          317        0          0          99         4950       99         99          0,00                      
4          318        1          0          0          1          1          1          -------------------- 100,00
4          319        0          0          1          1          1          1           0,00                      
4          320        257        0          0          66048      257        257        -------------------- 100,00
4          321        257        0          0          66050      257        257        -------------------- 100,00
4          323        174        82         0          65536      256        256        -------------- 67,97       
4          325        0          99         0          9801       99         99          0,00                      
4          327        0          1          0          1          1          1           0,00                      
5          303        1          0          0          1          1          1          -------------------- 100,00
5          304        0          0          1          1          1          1           0,00                      
5          305        256        0          1          66048      257        257        -------------------- 99,61 
5          306        257        0          0          66050      257        257        -------------------- 100,00
5          308        177        0          79         65536      256        256        -------------- 69,14       
5          309        0          1          0          1          1          1           0,00                      
5          310        99         0          0          9801       99         99         -------------------- 100,00
5          312        0          99         0          9801       99         99          0,00                      
5          313        0          0          0          0          0          0           NaN                       
5          314        0          0          0          0          0          0           NaN                       
5          316        0          0          0          0          0          0           NaN                       
5          317        0          0          99         4950       99         99          0,00                      
5          318        1          0          0          1          1          1          -------------------- 100,00
5          319        0          0          1          1          1          1           0,00                      
5          320        256        0          1          66048      257        257        -------------------- 99,61 
5          321        257        0          0          66050      257        257        -------------------- 100,00
5          323        176        80         0          65536      256        256        -------------- 68,75       
5          325        0          99         0          9801       99         99          0,00                      
5          327        0          1          0          1          1          1           0,00                      
6          303        1          0          0          1          1          1          -------------------- 100,00
6          304        1          0          0          1          1          1          -------------------- 100,00
6          305        257        0          0          66048      257        257        -------------------- 100,00
6          306        257        0          0          66050      257        257        -------------------- 100,00
6          308        181        0          75         65536      256        256        --------------- 70,70      
6          309        0          1          0          1          1          1           0,00                      
6          310        99         0          0          9801       99         99         -------------------- 100,00
6          312        0          99         0          9801       99         99          0,00                      
6          313        0          0          0          0          0          0           NaN                       
6          314        0          0          0          0          0          0           NaN                       
6          316        0          0          0          0          0          0           NaN                       
6          317        0          0          99         4950       99         99          0,00                      
6          318        1          0          0          1          1          1          -------------------- 100,00
6          319        1          0          0          1          1          1          -------------------- 100,00
6          320        257        0          0          66048      257        257        -------------------- 100,00
6          321        257        0          0          66050      257        257        -------------------- 100,00
6          323        180        76         0          65536      256        256        --------------- 70,31      
6          325        0          99         0          9801       99         99          0,00                      
6          327        0          1          0          1          1          1           0,00                      
7          303        1          0          0          1          1          1          -------------------- 100,00
7          304        1          0          0          1          1          1          -------------------- 100,00
7          305        257        0          0          66048      257        257        -------------------- 100,00
7          306        257        0          0          66050      257        257        -------------------- 100,00
7          308        176        0          80         65536      256        256        -------------- 68,75       
7          309        0          1          0          1          1          1           0,00                      
7          310        99         0          0          9801       99         99         -------------------- 100,00
7          312        0          99         0          9801       99         99          0,00                      
7          313        0          0          0          0          0          0           NaN                       
7          314        0          0          0          0          0          0           NaN                       
7          316        0          0          0          0          0          0           NaN                       
7          317        0          0          99         4950       99         99          0,00                      
7          318        1          0          0          1          1          1          -------------------- 100,00
7          319        1          0          0          1          1          1          -------------------- 100,00
7          320        257        0          0          66048      257        257        -------------------- 100,00
7          321        257        0          0          66050      257        257        -------------------- 100,00
7          323        176        80         0          65536      256        256        -------------- 68,75       
7          325        0          99         0          9801       99         99          0,00                      
7          327        0          1          0          1          1          1           0,00                      
8          303        1          0          0          1          1          1          -------------------- 100,00
8          304        0          0          1          1          1          1           0,00                      
8          305        257        0          0          66048      257        257        -------------------- 100,00
8          306        257        0          0          66050      257        257        -------------------- 100,00
8          308        172        0          84         65536      256        256        -------------- 67,19       
8          309        0          1          0          1          1          1           0,00                      
8          310        99         0          0          9801       99         99         -------------------- 100,00
8          312        0          99         0          9801       99         99          0,00                      
8          313        0          0          0          0          0          0           NaN                       
8          314        0          0          0          0          0          0           NaN                       
8          316        0          0          0          0          0          0           NaN                       
8          317        0          0          99         4950       99         99          0,00                      
8          318        1          0          0          1          1          1          -------------------- 100,00
8          319        0          0          1          1          1          1           0,00                      
8          320        257        0          0          66048      257        257        -------------------- 100,00
8          321        257        0          0          66050      257        257        -------------------- 100,00
8          323        172        84         0          65536      256        256        -------------- 67,19       
8          325        0          99         0          9801       99         99          0,00                      
8          327        0          1          0          1          1          1           0,00                      
9          303        1          0          0          1          1          1          -------------------- 100,00
